               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.056997,            0.070859,            0.042911,             0.28365,              0.1461,             0.12603,            0.059735,            0.066471,            0.060287,            0.050001,            0.003664,            0.003664,            0.003664
                  66,            0.057654,            0.073024,            0.043511,              0.3376,             0.16636,             0.13156,             0.06167,             0.06621,            0.060117,            0.049835,            0.003565,            0.003565,            0.003565
                  67,            0.056811,            0.071599,             0.04222,             0.29712,             0.16459,             0.13254,            0.064419,            0.065921,            0.060634,            0.049177,            0.003466,            0.003466,            0.003466
                  68,            0.056967,            0.072062,            0.042041,             0.31261,             0.16119,             0.11764,            0.055555,            0.066651,            0.061362,            0.050104,            0.003367,            0.003367,            0.003367
                  69,            0.056272,            0.068224,            0.041982,             0.31481,             0.16185,             0.12986,            0.060891,            0.065889,            0.060834,            0.048727,            0.003268,            0.003268,            0.003268
                  70,             0.05609,            0.068953,            0.041068,             0.33252,             0.17183,             0.14201,            0.067963,            0.065812,            0.060802,            0.049245,            0.003169,            0.003169,            0.003169
                  71,            0.056392,            0.071826,            0.041035,             0.30992,             0.16425,             0.14159,            0.067842,            0.065718,            0.060664,            0.048389,             0.00307,             0.00307,             0.00307
                  72,            0.055561,            0.069712,            0.041158,             0.35404,             0.15322,             0.13733,             0.06529,            0.066645,            0.062052,            0.048525,            0.002971,            0.002971,            0.002971
                  73,            0.055417,            0.069193,            0.040343,              0.3272,             0.17021,             0.14566,            0.072427,            0.065879,            0.060983,            0.048782,            0.002872,            0.002872,            0.002872
                  74,            0.054946,            0.070474,            0.039884,             0.27497,             0.16308,             0.13573,            0.068389,            0.066305,            0.061619,            0.048995,            0.002773,            0.002773,            0.002773
                  75,            0.054698,            0.068361,            0.039074,             0.30635,             0.15541,             0.12875,            0.063227,            0.066094,            0.061823,            0.048727,            0.002674,            0.002674,            0.002674
                  76,            0.054872,            0.067577,            0.039129,             0.31802,             0.16065,             0.14314,            0.070176,            0.065848,            0.061407,            0.049009,            0.002575,            0.002575,            0.002575
                  77,            0.054148,            0.068728,            0.039111,              0.3123,             0.17845,              0.1448,            0.070354,            0.065833,            0.061157,             0.04839,            0.002476,            0.002476,            0.002476
                  78,            0.053926,            0.067949,            0.039501,             0.29127,             0.17007,             0.14054,            0.070622,            0.066138,            0.062157,            0.048708,            0.002377,            0.002377,            0.002377
                  79,            0.053671,            0.067591,            0.038149,             0.28345,             0.16598,             0.14571,            0.070556,            0.066207,            0.061668,             0.04806,            0.002278,            0.002278,            0.002278
                  80,            0.053307,            0.065847,            0.038201,             0.32699,             0.16321,              0.1359,            0.068601,            0.066319,            0.062377,            0.048634,            0.002179,            0.002179,            0.002179
